date	title	url	desc
May 07, 2021	Ericsson, Telarus team to take 5G-ready virtual workspace to small businesses	https://www.computerweekly.com/news/252500329/Ericsson-Telarus-team-to-take-5G-ready-virtual-workspace-to-small-businesses	5G-ready virtual desktop subscription service will cover business applications, compute, storage and security needs for small and medium-sized businesses
May 07, 2021	Ransomware, supply chain attacks show no sign of abating	https://www.computerweekly.com/news/252500389/Ransomware-supply-chain-attacks-show-no-sign-of-abating	Security experts at Black Hat Asia 2021 discuss the state of ransomware and supply chain attacks, two of the most common attack vectors that offer high returns for threat actors
May 06, 2021	Government urged to add scam protections to Online Safety Bill	https://www.computerweekly.com/news/252500312/Government-urged-to-add-scam-protections-to-Online-Safety-Bill	Group of organisations calls for the government to use the Online Safety Bill to protect people from cyber scams
May 06, 2021	Tech startups turn to digital PR platform for media exposure	https://www.computerweekly.com/news/252500327/Tech-startups-turn-to-digital-PR-platform-for-media-exposure	Digital PR platform Newspage helps early-stage tech startups with limited resources increase their visibility to journalists and news organisations
May 06, 2021	Nokia unveils Smart Node for premium 5G mobile indoor coverage	https://www.computerweekly.com/news/252500320/Nokia-unveils-Smart-Node-for-premium-5G-mobile-indoor-coverage	Nokia rolls out ‘all-in-one solution’ for delivering high-quality 4G and 5G indoor mobile coverage, and is selected to provide technical, maintenance and management services for Germany’s BDBOS public safety digital radio network
May 06, 2021	Scammers accidentally reveal fake Amazon review data	https://www.computerweekly.com/news/252500326/Scammers-accidentally-reveal-fake-Amazon-review-data	More than 13 million records relating to an organised fake review scam have been found on an unsecured ElasticSearch database, implicating hundreds of thousands of people in unethical behaviour
May 06, 2021	Google to introduce mandatory MFA for users	https://www.computerweekly.com/news/252500323/Google-to-introduce-mandatory-MFA-for-users	In future, holders of Google accounts will have no option but to use multifactor authentication if they want to use the firm’s services
May 06, 2021	Premier League promotes football analytics with Oracle Cloud	https://www.computerweekly.com/news/252500303/Premier-League-promotes-football-analytics-with-Oracle-Cloud	From season 2021-22, the Premier League will provide in-match statistics and analysis for fans, made possible by Oracle Cloud
May 06, 2021	5G mmWave delivering speeds 16 times faster than sub-6GHz	https://www.computerweekly.com/news/252500313/5G-mmWave-delivering-speeds-16-times-faster-than-sub-6GHz	Mobile technology provider reveals speed test data that shows full extent of throughout gains at high-end part of next-generation infrastructure spectrum band
May 06, 2021	Netherlands to build new national supercomputer	https://www.computerweekly.com/news/252500314/Netherlands-to-build-new-national-supercomputer	The Netherlands has laid out plans for its next national supercomputer, to be known as Snellius
May 06, 2021	Dell Technologies World: Amex CEO on how Covid-19 has accelerated consumer adoption of e-commerce	https://www.computerweekly.com/news/252500311/Dell-Technologies-World-Amex-CEO-on-how-Covid-19-has-accelerated-consumer-adoption-of-E-commerce	American Express CEO Stephen Squeri was among the commentators called upon during this year's Dell Technologies World keynote to discuss how the world of work and IT has changed during the pandemic
May 06, 2021	HSBC blocks £249m in UK fraud with voice biometrics	https://www.computerweekly.com/news/252500302/HSBC-blocks-249m-in-UK-fraud-with-voice-biometrics	HSBC voice recognition technology has reduced telephone banking fraud as demand for the channel increases
May 06, 2021	WBA OpenRoaming enabled in forthcoming Telecom Infra Project OpenWiFi standard	https://www.computerweekly.com/news/252500258/WBA-OpenRoaming-enabled-in-forthcoming-Telecom-Infra-Project-OpenWiFi-standard	Open technology initiative adopts OpenRoaming Wi-Fi roaming standard to facilitate what is claimed to be seamless roaming connectivity using the wireless network
May 06, 2021	Wipro’s AI platform to improve vaccine safety	https://www.computerweekly.com/news/252500298/Wipros-AI-platform-to-improve-vaccine-safety	Wipro is partnering a stem cell technology firm on the use of its Holmes artificial intelligence platform to help researchers ascertain the safety and potency of vaccines
May 05, 2021	Why ITAM can aid IT-fuelled business recovery	https://www.computerweekly.com/news/252500244/Why-ITAM-can-aid-IT-fuelled-business-recovery	As a sense of normality returns, we look at why IT asset management is the stealth tool for clearing a path towards greater digitisation
May 05, 2021	Deloitte: Widespread broadband infrastructure critical to the US economy	https://www.computerweekly.com/news/252500246/Deloitte-widespread-broadband-infrastructure-critical-to-the-US-economy	Deloitte study finds that increased broadband coverage, adoption and speed is needed to create more US jobs and GDP, but warns of diminishing returns due to lack of widespread, high-quality broadband access
May 05, 2021	Community Fibre, City Fibre ramp up UK gigabit roll-out	https://www.computerweekly.com/news/252500254/Community-Fibre-City-Fibre-ramp-up-UK-gigabit-rollout	Altnets further expand the reach of UK gigabit broadband networks with deployments in London and Ipswich
May 05, 2021	Dysfunctional cyber, network teams disrupt digital transformation	https://www.computerweekly.com/news/252500251/Dysfunctional-cyber-network-teams-disrupt-digital-transformation	Despite shared goals, combative and dysfunctional relationships within specialist tech teams are putting digital transformation projects at risk, according to a report
May 05, 2021	Sophos: How timely intervention stopped a ProxyLogon attack	https://www.computerweekly.com/news/252500236/Sophos-How-timely-intervention-stopped-a-ProxyLogon-attack	A recent incident at an undisclosed customer sheds new light on how malicious actors exploit unpatched Microsoft Exchange servers
May 05, 2021	Early commercial 6G deployments anticipated by 2028	https://www.computerweekly.com/news/252500239/Early-commercial-6G-deployments-anticipated-by-2028	Analyst says data security, user privacy and energy sustainably are the key features that make 6G a completely new communication system, not just a better 5G
May 05, 2021	Interview: ONS data science chief Tom Smith on government data capability	https://www.computerweekly.com/news/252499885/Interview-ONS-data-science-chief-Tom-Smith-on-government-data-capability	The managing director of the Office of National Statistics’ Data Science Campus, Tom Smith, describes the organisation’s data capability building activities for and across government
May 05, 2021	Delivering international talent to Helsinki’s tech ecosystem	https://www.computerweekly.com/news/252500237/Delivering-international-talent-to-Helsinkis-tech-ecosystem	Finland’s capital is the envy of the world as a tech hub, but it still faces challenges in attracting skills in a highly competitive global market
May 05, 2021	Cambridge scale-up company Eagle Genomics expands in India	https://www.computerweekly.com/news/252500210/Cambridge-scale-up-company-Eagle-Genomics-expands-in-India	UK data analytics life sciences-focused scale-up company Eagle Genomics announces Indian expansion to coincide with government declaration of UK-India trade partnership
May 05, 2021	Post Office dishonesty in Horizon scandal is reason enough for statutory public inquiry	https://www.computerweekly.com/news/252500232/Post-Office-dishonesty-in-Horizon-scandal-is-reason-enough-for-statutory-public-inquiry	Subpostmasters, MPs and the public call for a full statutory judge-led public inquiry into the Post Office Horizon scandal, following another damning court judgment
May 05, 2021	Executive interview: Juergen Mueller on SAP’s tech strategy	https://www.computerweekly.com/news/252500229/Executive-interview-Juergen-Mueller-on-SAPs-tech-strategy	SAP CTO Juergen Mueller offers a glimpse into the company’s thinking around delivering business applications as microservices, among other areas and updates in its technology strategy
May 04, 2021	Nebulon helps DCI offer high-performance edge hyper-converged	https://www.computerweekly.com/news/252500189/Nebulon-helps-DCI-offer-high-performance-edge-hyper-converged	Cambridge-based cloud and colo provider DCI will offer DataQube servers with Nebulon, which marries a cloud control plane with local PCIe-connected flash storage
May 04, 2021	Aryaka acquires cloud-based SASE platform Secucloud	https://www.computerweekly.com/news/252500201/Aryaka-acquires-cloud-based-SASE-platform-Secucloud	SD-WAN provider makes its first-ever acquisition with purchase of German security company
May 04, 2021	Verizon sells off media division to focus on core comms	https://www.computerweekly.com/news/252500192/Verizon-sells-off-media-division-to-focus-on-core-comms	US comms giant follows in the footsteps of BT and divests division in order to make more profitable push into fibre and next-gen communications
May 04, 2021	BT aims to extend UK fibre affordability with Home Essentials package	https://www.computerweekly.com/news/252500178/BT-aims-to-extend-UK-fibre-affordability-with-Home-Essentials-package	The debate regarding access to gigabit broadband in the UK has to date been centred around geography, in particular providing access to places regarded as hard to reach, but UK telco BT believes there is also a financial barrier – one it aims to ...
May 04, 2021	Half of organisations breached via a third party in 12 months	https://www.computerweekly.com/news/252500190/Half-of-organisations-breached-via-a-third-party-in-12-months	New report highlights the risks of outsourcing key business processes without paying due care and attention to your service provider’s security
May 04, 2021	Government digital chiefs outline plans for CDDO and GDS	https://www.computerweekly.com/news/252500188/Government-digital-chiefs-outline-plans-for-CDDO-and-GDS	Paul Willmott, Joanna Davinson and Tom Read talk about establishing a digital, data and technology sub-board, plans to hire a chief technology officer and a chief data officer, and a five-year plan for the Government Digital Service
